condition,regressor,window_center_sec,dominant_freq_hz,dominant_power
control,luminance_mean,16.0,0.03125,2155.794706955801
control,luminance_mean,20.0,0.03125,4428.125127536027
control,luminance_mean,24.0,0.03125,4139.277689653836
control,luminance_mean,28.0,0.03125,3687.581790956663
control,luminance_mean,32.0,0.0625,4981.044329875892
control,luminance_mean,36.0,0.0625,3687.694172070997
control,luminance_mean,40.0,0.125,4769.037005823543
control,luminance_mean,44.0,0.03125,5734.243197299932
control,luminance_mean,48.0,0.03125,8460.482218151139
control,luminance_mean,52.0,0.03125,10831.33676271239
control,luminance_mean,56.0,0.03125,9331.957959187368
control,luminance_mean,60.0,0.03125,6635.498085342721
control,luminance_mean,64.0,0.125,1588.815749050546
control,luminance_mean,68.0,0.03125,331.0184523117843
control,luminance_mean,72.0,0.03125,664.3147918425633
control,luminance_mean,76.0,0.03125,1635.9967049469954
control,luminance_mean,80.0,0.03125,1807.2721869876143
control,luminance_mean,84.0,0.03125,1470.8637133585355
control,luminance_mean,88.0,0.0625,1091.8392490470292
control,luminance_mean,92.0,0.0625,711.5381593601257
control,luminance_mean,96.0,0.0625,1566.453001604199
control,luminance_mean,100.0,0.0625,4237.824900965468
control,luminance_mean,104.0,0.03125,6978.414549687326
control,luminance_mean,108.0,0.03125,9373.733828792472
control,luminance_mean,112.0,0.03125,9508.411786725232
control,luminance_mean,116.0,0.03125,6193.330189162797
control,luminance_mean,120.0,0.09375,3414.0145699474283
control,luminance_mean,124.0,0.03125,2710.3322219614743
control,luminance_mean,128.0,0.03125,1677.8675395490827
control,luminance_mean,132.0,0.0625,3615.6828180827088
control,luminance_mean,136.0,0.0625,3573.508666584504
control,luminance_mean,140.0,0.0625,2364.8455982269047
control,luminance_mean,144.0,0.0625,2221.625746003778
control,luminance_mean,148.0,0.0625,2658.5094017309084
control,luminance_mean,152.0,0.0625,1821.769383233079
control,luminance_mean,156.0,0.09375,1010.6411275244336
control,luminance_mean,160.0,0.09375,1592.0863251914377
control,luminance_mean,164.0,0.09375,1624.5560965099503
control,luminance_mean,168.0,0.09375,1496.106878373506
control,luminance_mean,172.0,0.0625,1030.1610456650606
control,luminance_mean,176.0,0.03125,1255.6739650120749
control,luminance_mean,180.0,0.03125,1776.492727354498
control,luminance_mean,184.0,0.03125,1984.8130894484684
control,visual_change_mean_abs,16.0,0.125,323.24917253373366
control,visual_change_mean_abs,20.0,0.125,581.7031931052534
control,visual_change_mean_abs,24.0,0.09375,599.4763864611725
control,visual_change_mean_abs,28.0,0.125,562.1905860997899
control,visual_change_mean_abs,32.0,0.0625,1270.1281309179308
control,visual_change_mean_abs,36.0,0.0625,1582.0789616633645
control,visual_change_mean_abs,40.0,0.125,1609.549628907089
control,visual_change_mean_abs,44.0,0.03125,1524.9640464966717
control,visual_change_mean_abs,48.0,0.03125,1749.3020468937254
control,visual_change_mean_abs,52.0,0.09375,1913.476279818303
control,visual_change_mean_abs,56.0,0.09375,1173.153021662546
control,visual_change_mean_abs,60.0,0.0625,901.9158895925016
control,visual_change_mean_abs,64.0,0.09375,439.4201896502783
control,visual_change_mean_abs,68.0,0.03125,209.31616510103524
